"","timestamp","id","version","session","session_type","keys_lr","level","level_type","global_trial_num","block_trial_num","trial_type","bias","ss","response_type","response_correct","response_time","ss_delay","score"
"766","190731-11-32-33.823",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",766,114,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.166748046875,0.759999990463257,416
"767","190731-11-32-37.545",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",767,115,"SS_ORANGE","ORANGE","TRUE","NO_RESPONSE","CORRECT",2.0025634765625,0.759999990463257,960
"768","190731-11-32-40.365",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",768,116,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.1019287109375,0.759999990463257,449
"769","190731-11-32-43.317",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",769,117,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.23291015625,0.759999990463257,383
"770","190731-11-32-46.241",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",770,118,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.2039794921875,0.759999990463257,398
"771","190731-11-32-48.976",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",771,119,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.015625,0.759999990463257,492
"772","190731-11-32-51.681",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",772,120,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",0.9815673828125,0.759999990463257,509
"773","190731-11-32-54.361",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",773,121,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",0.9603271484375,0.759999990463257,519
"774","190731-11-32-58.080",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",774,122,"SS_ORANGE","ORANGE","TRUE","NO_RESPONSE","CORRECT",2.0006103515625,0.759999990463257,960
"775","190731-11-33-01.803",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",775,123,"SS_BLUE","BLUE","TRUE","NO_RESPONSE","CORRECT",2.0030517578125,0.759999990463257,960
"776","190731-11-33-04.600",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",776,124,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.0799560546875,0.759999990463257,460
"777","190731-11-33-07.310",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",777,125,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",0.989990234375,0.759999990463257,505
"778","190731-11-33-10.421",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",778,126,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.389404296875,0.759999990463257,305
"779","190731-11-33-13.388",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",779,127,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.248779296875,0.759999990463257,375
"780","190731-11-33-16.180",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",780,128,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.075927734375,0.759999990463257,462
"781","190731-11-33-19.128",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",781,129,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.228515625,0.759999990463257,385
"782","190731-11-33-22.039",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",782,130,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.188720703125,0.759999990463257,405
"783","190731-11-33-25.761",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",783,131,"SS_ORANGE","ORANGE","TRUE","NO_RESPONSE","CORRECT",2.00439453125,0.759999990463257,960
"784","190731-11-33-28.733",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",784,132,"BLUE","BLUE","FALSE","RESPONSE_BLUE","CORRECT",1.2509765625,0.759999990463257,374
"785","190731-11-33-32.452",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",785,133,"SS_BLUE","BLUE","TRUE","NO_RESPONSE","CORRECT",2.00244140625,0.759999990463257,960
"786","190731-11-33-36.176",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",786,134,"SS_BLUE","BLUE","TRUE","NO_RESPONSE","CORRECT",2.004638671875,0.759999990463257,960
"787","190731-11-33-39.517",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",787,135,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.61962890625,0.759999990463257,190
"788","190731-11-33-42.228",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",788,136,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",0.9912109375,0.759999990463257,504
"789","190731-11-33-44.727",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",789,137,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",0.775634765625,0.759999990463257,612
"790","190731-11-33-47.559",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",790,138,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.110595703125,0.759999990463257,444
"791","190731-11-33-50.385",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",791,139,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.10400390625,0.759999990463257,447
"792","190731-11-33-53.405",15,"1.4.2",1,2,"TRUE",5,"FLASHING_SS",792,140,"ORANGE","ORANGE","FALSE","RESPONSE_ORANGE","CORRECT",1.30126953125,0.759999990463257,349
